SERIE A,,,,,,,,,,,,,
,,,,,,,,,,,,,
Porta Voz,Miguel Kazan,Recife-PE,,,,,,,,,,,
Insta,40.659,40677,,,,,18,"0,04%",-40.659,"-100,00%",,,https://www.instagram.com/leomagnun/
TikTok,9.133,9126,,,,,-7,"-0,08%",-9.133,"-100,00%",,,https://www.tiktok.com/@leomagnun_oficial
X,38,39,,,,,1,"2,63%",-38,"-100,00%",,,https://x.com/leomagnunof?s=11&t=HvJopDQ6gtHSUtNHqSTZlA
Youtube,0,0,,,,,0,#DIV/0!,0,#DIV/0!,,,
Kawai,0,0,,,,,0,#DIV/0!,0,#DIV/0!,,,
Total,49.830,49.842,0,0,0,0,12,"0,02%",-49.830,"-100,00%",,,
,,,,,,,,,,,,,
Porta Voz,Fabio,RN,,,,,,,,,,,
Rede,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Insta,7.332,7530,,,,,198,"2,70%",-7.332,"-100,00%",,,https://www.instagram.com/fabiosilveira.rn/
TikTok,81,81,,,,,0,"0,00%",-81,"-100,00%",,,https://www.tiktok.com/@fabiosilveira.rn
X,21,22,,,,,1,"4,76%",-21,"-100,00%",,,https://x.com/fabiosilveirarn
Youtube,216,219,,,,,3,"1,39%",-216,"-100,00%",,,https://www.youtube.com/@FabioSilveiraRN
Kawai,147,158,,,,,11,"7,48%",-147,"-100,00%",,,https://www.kwai.com/@FabioSilveiraRN
Total,7.797,8.010,0,0,0,0,213,"2,73%",-7.797,"-100,00%",,,
,,,,,,,,,,,,,
Porta Vozes,24/11/25,01/12/25,08/12/25,15/12/25,22/12/25,29/12/25,Crescimento,%,Crescimento Mês,% Mês,,,
Miguel Kazan - PE,133.361,133.794,0,0,0,0,433,"0,32%",-133.361,"-100,00%",,,
Leo Magun - PE,49.830,49.842,0,0,0,0,12,"0,02%",-49.830,"-100,00%",,,
MBL Coorporativo,49.498,51264,0,0,0,0,1.766,"3,57%",-49.498,"-100,00%",,,
Asafe - PE,32.416,33.700,0,0,0,0,1.284,"3,96%",-32.416,"-100,00%",,,
Fernanda - SP,16.985,17.157,0,0,0,0,172,"1,01%",-16.985,"-100,00%",,,
Xande - PE,13.729,14.200,0,0,0,0,471,"3,43%",-13.729,"-100,00%",,,
